,1,2,2,3,4,5,6,7,8,9,10
63,20200620 统军庄路口西站,统军庄路口东站,,,,,,,,,
64,20200620 梨园庄村站,梨园庄站,,,,,,,,,
65,20200620 木林东口站,木林站,,,,,,,,,
66,20200926 地盛北街站,地盛北路站,,,,,,,,,
67,20200926 地泽北街站,运成街西口站,,,,,,,,,
68,20200926 地泽南街西口站,文昌大道站,,,,,,,,,
69,20200926 宏达北路南口站,宏达路南口站,,,,,,,,,
70,20200926 宏达南路北口站,景园街站,,,,,,,,,
71,20200926 宏达南路北站,同仁医院亦庄分院北站,,,,,,,,,
72,20200926 宏达中路站,兴盛街西口站,,,,,,,,,
73,20200926 宏达中路南站,运成街南/运成街站,,,,,,,,,
74,20200926 建安街西口站,建安街站,,,,,,,,,
75,20200926 锦绣街东站,锦绣街站,,,,,,,,,
76,20200926 景园北街站,同仁医院亦庄分院北/京开企业大道站,,,,,,,,,
77,20200926 景园街东站,景园街站,,,,,,,,,
78,20200926 地铁同济南路站,永康公寓站,,,,,,,,,
79,20200926 天宝园六里站,天宝六里站,,,,,,,,,
80,20200926 人大附中经开学校站,亦庄实验学校站,,,,,,,,,
81,20200926 荣京东街西口站,荣京东街中路站,,,,,,,,,
82,20200926 荣京东街东口站,荣京街东口站,,,,,,,,,
83,20200926 同济北路南口站,20200926 荣京东街站,永昌北路站,,,,,,,,
84,20200926 天宝南街站,上海沙龙站,,,,,,,,,
85,20200926 天宝西路南口站,天安宝西街南口/卡尔公寓站,,,,,,,,,
86,20200926 天宝中路站,科慧大道站,,,,,,,,,
87,20200926 大雄城市花园站,开发区管委会宿舍站,,,,,,,,,
88,20200926 天华西路站,20200926 天华西路北口站,天华西路站,,,,,,,,
89,20200926 同济北路站,隆庆街站,,,,,,,,,
90,20200926 同济南路南口站,兴业街站,,,,,,,,,
91,20200926 同济南路公交场站,亦庄第二公交场站站,,,,,,,,,
92,20200926 同济中路南站,锦绣街站,,,,,,,,,
93,20200926 同济中路北口站,兴盛街站,,,,,,,,,
94,20200926 同济中路站,运成街站,,,,,,,,,
95,20200926 万源街东站,万源街东口站,,,,,,,,,
96,20200926 永昌中路北口站,20200926 兴盛街站,兴盛街西口站,,,,,,,,
97,20200926 永昌工业园站,隆庆街站,,,,,,,,,
98,20200926 永昌北路南口站,永昌北路/荣京东街站,,,,,,,,,
99,20200926 永昌北路北口站,永昌路北口站,,,,,,,,,
100,20200926 永昌北路站,中和街站,,,,,,,,,
101,20200926 永昌南路南站,凉水河桥北站,,,,,,,,,
102,20200926 隆盛产业园站,隆盛工业园站,,,,,,,,,
103,20200926 运成街站,20200926 永昌中路站,运成街站,,,,,,,,
104,20200926 泰河园一里站,博兴八路站,,,,,,,,,
105,20200926 泰河路口南站,泰和路口南站,,,,,,,,,
106,20200926 博兴六路公交场站,泰和一街东口站,,,,,,,,,
107,20200926 博兴六路站,泰河二街东口站,,,,,,,,,
108,20200926 博兴六路南站站,泰河三街东口站,,,,,,,,,
109,20200926 博兴路北口站,同仁医院亦庄分院站,,,,,,,,,
110,20200926 鹿圈东站,凉水河一街站,,,,,,,,,
111,20200926 四海庄站,兴海一街站,,,,,,,,,
112,20200926 博兴三路站,博兴三路中路站,,,,,,,,,
113,20200926 北京奔驰东站,北京奔驰站,,,,,,,,,
114,20200926 博兴路北口站,博兴十一路站,,,,,,,,,
115,20200926 博兴一路站,博兴一路中路站,,,,,,,,,
116,20200926 南海家园站,博兴十一路北口站,,,,,,,,,
117,20200926 宝善村西站,博兴西路北口站,,,,,,,,,
118,20200926 瀛海路口东站,瀛海路东口站,,,,,,,,,
119,20200926 南海家园五里站,南海家园五里南门站,,,,,,,,,
120,20200926 西五号村北站,博兴八路北口站,,,,,,,,,
121,20200926 西五号村站,凉水河一街站,,,,,,,,,
122,20200926 鹿圈站,鹿圈乡站,,,,,,,,,
123,20200926 南海家园七里站,南海家园七里南门站,,,,,,,,,
124,20200926 四合路站,第五幼儿园站,,,,,,,,,
125,20200926 北京奔驰西站,北京奔驰站,,,,,,,,,
126,20200926 泰河三街西站站,泰河三街站,,,,,,,,,
127,20200926 泰河一街西口站,泰和一街西口站,,,,,,,,,
128,20200926 泰河一街西站,泰河一街口站,,,,,,,,,
129,20200926 瀛坤路北站,瀛坤路站,,,,,,,,,
130,20200926 瀛祥路北站,瀛祥路站,,,,,,,,,
131,20200926 科创五街东口站,科创五街站,,,,,,,,,
132,20200926 经海二路公交场站,东区公交站站,,,,,,,,,
133,20200926 经海二路公交场站,亦庄工业园区站,,,,,,,,,
134,20200926 金日吉通工业园站,科创三街站,,,,,,,,,
135,20200926 经海二路北站,科创四街站,,,,,,,,,
136,20200926 金田恒业工业园站,科创五街站,,,,,,,,,
137,20200926 科创十四街西站,20200926 科创十四街站,锋创科技园站,,,,,,,,
138,20200926 科创十一街西站,20200926 科创十一街站,20200926 地铁经海路站,经海路城铁站站,,,,,,,
139,20200926 经海七路南口站,经海七路站,,,,,,,,,
140,20200926 经海三路南站,经海三路站,,,,,,,,,
141,20200926 森科技园站,经海三路站,,,,,,,,,
142,20200926 瑞森国际产业园站,经海三路北站,,,,,,,,,
143,20200926 经海三路北站,科创八街站,,,,,,,,,
144,20200926 新瀛工业园站,科创二街路口站,,,,,,,,,
145,20200926 经海三路站,科创街站,,,,,,,,,
146,20200926 科创九街西口站,科创九街/经海三路站,,,,,,,,,
147,20200926 德上科技园站,科创六街站,,,,,,,,,
148,20200926 生物医药园西门站,科创七街站,,,,,,,,,
149,20200926 星岛产业园站,科创三街站,,,,,,,,,
150,20200926 经海三路南口站,科创十七街站,,,,,,,,,
151,20200926 天骥智谷东门站,科创十一街西口站,,,,,,,,,
152,20200926 经海四路北站,科创八街站,,,,,,,,,
153,20200926 经海四路站,科创街站,,,,,,,,,
154,20200926 生物医药园东门站,科创七街站,,,,,,,,,
155,20200926 经海产业园站,科创十三街站,,,,,,,,,
156,20200926 经惠东路站,崔家窑中路站,,,,,,,,,
157,20200926 经惠西路北口站,崔家窑西路站,,,,,,,,,
158,20200926 定海园西站,第五公交场站站,,,,,,,,,
159,20200926 科创六街西站,科创六街站,,,,,,,,,
160,20200926 科创十三街西站,科创十三街站,,,,,,,,,
161,20200926 科创十一街东站,经海五路站,,,,,,,,,
162,20200926 科创四街西站,科创四街站,,,,,,,,,
163,20200926 小康小区南门站,小康小区站,,,,,,,,,
164,20200926 小康小区站,小康小区北门站,,,,,,,,,
165,20200929 凉水河桥南,马驹桥新桥站,,,,,,,,,
166,20201113 高教园中街东站,高教园中街重口站,,,,,,,,,
167,20201113 北沙河西三路站,北街家园六区站,,,,,,,,,
168,20201113 满井路东口站,满井桥东站,,,,,,,,,
169,20201219 北纬路东站,北纬路东口站,,,,,,,,,
170,20210206 东花市大街东口站,白桥大街站,,,,,,,,,
171,20210206 骑河楼站,北京妇产医院站,,,,,,,,,
172,20210206 北京体育馆东站,北京体育馆站,,,,,,,,,
173,20210206 北京站东街站,北京站东站,,,,,,,,,
174,20210206 北京站西街站,北京站西街西口站,,,,,,,,,
175,20210206 崇文门站,崇文门外站,,,,,,,,,
176,20210206 胡家园北站,春秀路北口站,,,,,,,,,
177,20210206 东安门大街站,东安门大街西口站,,,,,,,,,
178,20210206 铁辘轳把站,东花市大街站,,,,,,,,,
179,20210206 东安门站,东华门站,,,,,,,,,
180,20210206 神武门站,故宫站,,,,,,,,,
181,20210206 东华门站,故宫东门站,,,,,,,,,
182,20210206 和平里西街站,和平里北街站,,,,,,,,,
183,20210206 蒋宅口东站,和平里北街西口站,,,,,,,,,
184,20210206 地铁和平里北街站,和平里中街站,,,,,,,,,
185,20210206 景泰路口东站,李村站,,,,,,,,,
186,20210206 东四块玉站,龙潭路西口站,,,,,,,,,
187,20210206 南锣鼓巷站,锣鼓巷站,,,,,,,,,
188,20210206 打磨厂站,祈年大街北口站,,,,,,,,,
189,20210206 东晓市站,祈年大街南口站,,,,,,,,,
190,20210206 永定门西站,陶然桥东站,,,,,,,,,
191,20210206 天坛南门东站,天坛南门站,,,,,,,,,
192,20210206 兴化路南口站,兴化路站,,,,,,,,,
193,20210206 地坛体育馆站,—四二中站,,,,,,,,,
194,20210206 地坛南门站,雍和宫桥北站,,,,,,,,,
195,20210206 永定门汽车站,永定门长途汽车站,,,,,,,,,
196,20210206 南站幸福路站,永定门长途汽车站,,,,,,,,,
